Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Dominion Post,New Zealand,https://www.stuff.co.nz/dominion-post,https://www.google.com/search?q=site:https://www.stuff.co.nz/dominion-post+Israel,
Gisborne Herald,New Zealand,https://www.gisborneherald.co.nz,https://www.google.com/search?q=site:https://www.gisborneherald.co.nz+Israel,
New Zealand Herald,New Zealand,https://www.nzherald.co.nz,https://www.google.com/search?q=site:https://www.nzherald.co.nz+Israel,
Newshub,New Zealand,https://www.newshub.co.nz,https://www.google.com/search?q=site:https://www.newshub.co.nz+Israel,
Newsroom,New Zealand,https://www.newsroom.co.nz,https://www.google.com/search?q=site:https://www.newsroom.co.nz+Israel,
NZ Herald,New Zealand,https://www.nzherald.co.nz,https://www.google.com/search?q=site:https://www.nzherald.co.nz+Israel,
Radio New Zealand,New Zealand,https://www.rnz.co.nz,https://www.google.com/search?q=site:https://www.rnz.co.nz+Israel,
Scoop,New Zealand,https://www.scoop.co.nz,https://www.google.com/search?q=site:https://www.scoop.co.nz+Israel,
Stuff,New Zealand,https://www.stuff.co.nz,https://www.google.com/search?q=site:https://www.stuff.co.nz+Israel,
