Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Daily Monitor,Uganda,https://www.monitor.co.ug,https://www.google.com/search?q=site:https://www.monitor.co.ug+Israel,
Monitor,Uganda,https://www.monitor.co.ug,https://www.google.com/search?q=site:https://www.monitor.co.ug+Israel,
Observer,Uganda,https://www.observer.ug,https://www.google.com/search?q=site:https://www.observer.ug+Israel,
Observer,Uganda,https://observer.ug,https://www.google.com/search?q=site:https://observer.ug+Israel,
