Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Ceylon Today,Sri Lanka,https://www.ceylontoday.lk,https://www.google.com/search?q=site:https://www.ceylontoday.lk+Israel,
Colombo Page,Sri Lanka,https://www.colombopage.com,https://www.google.com/search?q=site:https://www.colombopage.com+Israel,
Daily FT,Sri Lanka,https://www.ft.lk,https://www.google.com/search?q=site:https://www.ft.lk+Israel,
Daily Mirror,Sri Lanka,https://www.dailymirror.lk,https://www.google.com/search?q=site:https://www.dailymirror.lk+Israel,
Daily News,Sri Lanka,https://www.dailynews.lk,https://www.google.com/search?q=site:https://www.dailynews.lk+Israel,
