Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Bangkok Biz News,Thailand,https://www.bangkokbiznews.com,https://www.google.com/search?q=site:https://www.bangkokbiznews.com+Israel,
Bangkok Business News,Thailand,https://www.bangkokbiznews.com,https://www.google.com/search?q=site:https://www.bangkokbiznews.com+Israel,
Bangkok Post,Thailand,https://www.bangkokpost.com,https://www.google.com/search?q=site:https://www.bangkokpost.com+Israel,
Coconuts Media,Thailand,https://coconuts.co,https://www.google.com/search?q=site:https://coconuts.co+Israel,
Pattaya Mail,Thailand,https://www.pattayamail.com,https://www.google.com/search?q=site:https://www.pattayamail.com+Israel,
