Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Correo,Peru,https://diariocorreo.pe,https://www.google.com/search?q=site:https://diariocorreo.pe+Israel,
El Comercio,Peru,https://elcomercio.pe,https://www.google.com/search?q=site:https://elcomercio.pe+Israel,
La Republica,Peru,https://www.larepublica.pe,https://www.google.com/search?q=site:https://www.larepublica.pe+Israel,
La República,Peru,https://www.larepublica.pe,https://www.google.com/search?q=site:https://www.larepublica.pe+Israel,
RPP Noticias,Peru,https://rpp.pe,https://www.google.com/search?q=site:https://rpp.pe+Israel,
