Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Kathmandu Post,Nepal,https://kathmandupost.ekantipur.com,https://www.google.com/search?q=site:https://kathmandupost.ekantipur.com+Israel,
Kathmandu Post,Nepal,https://www.kathmandupost.ekantipur.com,https://www.google.com/search?q=site:https://www.kathmandupost.ekantipur.com+Israel,
Kathmandu Post,Nepal,https://kathmandupost.com,https://www.google.com/search?q=site:https://kathmandupost.com+Israel,
Kathmandu Tribune,Nepal,https://kathmandutribune.com,https://www.google.com/search?q=site:https://kathmandutribune.com+Israel,
