Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Al Bawaba,Jordan,https://www.albawaba.com,https://www.google.com/search?q=site:https://www.albawaba.com+Israel,
Ammon News,Jordan,https://en.ammonnews.net,https://www.google.com/search?q=site:https://en.ammonnews.net+Israel,
Jordan News,Jordan,https://www.jordannews.jo,https://www.google.com/search?q=site:https://www.jordannews.jo+Israel,
Jordan Times,Jordan,https://www.jordantimes.com,https://www.google.com/search?q=site:https://www.jordantimes.com+Israel,
