Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Antara News,Indonesia,https://en.antaranews.com,https://www.google.com/search?q=site:https://en.antaranews.com+Israel,
Harian Republika,Indonesia,https://www.republika.co.id,https://www.google.com/search?q=site:https://www.republika.co.id+Israel,
Jakarta Globe,Indonesia,https://www.thejakartaglobe.com,https://www.google.com/search?q=site:https://www.thejakartaglobe.com+Israel,
Jakarta Post,Indonesia,https://www.thejakartapost.com,https://www.google.com/search?q=site:https://www.thejakartapost.com+Israel,
Kompas,Indonesia,https://www.kompas.com,https://www.google.com/search?q=site:https://www.kompas.com+Israel,
The Jakarta Post,Indonesia,https://www.thejakartapost.com,https://www.google.com/search?q=site:https://www.thejakartapost.com+Israel,
