Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Le Matin,Morocco,https://lematin.ma,https://www.google.com/search?q=site:https://lematin.ma+Israel,
Maroc Hebdo,Morocco,https://maroc-hebdo.press.ma,https://www.google.com/search?q=site:https://maroc-hebdo.press.ma+Israel,
Morocco World News,Morocco,https://www.moroccoworldnews.com,https://www.google.com/search?q=site:https://www.moroccoworldnews.com+Israel,
